Region,Year,Indicator,Value_Millions,Penetration_Per_100_Inhabitants,Percentage,Value_Exabytes,Per_Subscription_GB,Value_Tbits,Per_User_kbits
Europe,2021,Population covered by at least a 3G mobile network,682.0,,99.0,,,,
Europe,2022,Population covered by at least a 3G mobile network,685.0,,99.1,,,,
Europe,2023,Population covered by at least a 3G mobile network,689.0,,99.4,,,,
Europe,2024,Population covered by at least a 3G mobile network,690.0,,99.4,,,,
Africa,2005,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Africa,2006,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Africa,2007,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Africa,2008,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Africa,2009,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Africa,2010,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Africa,2011,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Africa,2012,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Africa,2013,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Africa,2014,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Africa,2015,Population covered by at least an LTE/WiMAX mobile network,106.0,,11.1,,,,
Africa,2016,Population covered by at least an LTE/WiMAX mobile network,147.0,,15.0,,,,
Africa,2017,Population covered by at least an LTE/WiMAX mobile network,179.0,,17.9,,,,
Africa,2018,Population covered by at least an LTE/WiMAX mobile network,251.0,,24.3,,,,
Africa,2019,Population covered by at least an LTE/WiMAX mobile network,355.0,,33.6,,,,
Africa,2020,Population covered by at least an LTE/WiMAX mobile network,454.0,,41.3,,,,
Africa,2021,Population covered by at least an LTE/WiMAX mobile network,554.0,,49.1,,,,
Africa,2022,Population covered by at least an LTE/WiMAX mobile network,712.0,,61.6,,,,
Africa,2023,Population covered by at least an LTE/WiMAX mobile network,817.0,,68.9,,,,
Africa,2024,Population covered by at least an LTE/WiMAX mobile network,862.0,,70.9,,,,
Americas,2005,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Americas,2006,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Americas,2007,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Americas,2008,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Americas,2009,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Americas,2010,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Americas,2011,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Americas,2012,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Americas,2013,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Americas,2014,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Americas,2015,Population covered by at least an LTE/WiMAX mobile network,714.0,,73.0,,,,
Americas,2016,Population covered by at least an LTE/WiMAX mobile network,769.0,,77.8,,,,
Americas,2017,Population covered by at least an LTE/WiMAX mobile network,820.0,,82.3,,,,
Americas,2018,Population covered by at least an LTE/WiMAX mobile network,881.0,,87.6,,,,
Americas,2019,Population covered by at least an LTE/WiMAX mobile network,914.0,,90.2,,,,
Americas,2020,Population covered by at least an LTE/WiMAX mobile network,932.0,,91.4,,,,
Americas,2021,Population covered by at least an LTE/WiMAX mobile network,944.0,,92.2,,,,
Americas,2022,Population covered by at least an LTE/WiMAX mobile network,960.0,,93.2,,,,
Americas,2023,Population covered by at least an LTE/WiMAX mobile network,972.0,,93.7,,,,
Americas,2024,Population covered by at least an LTE/WiMAX mobile network,978.0,,93.7,,,,
Arab States,2005,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Arab States,2006,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Arab States,2007,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Arab States,2008,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Arab States,2009,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Arab States,2010,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Arab States,2011,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Arab States,2012,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Arab States,2013,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Arab States,2014,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Arab States,2015,Population covered by at least an LTE/WiMAX mobile network,74.0,,18.2,,,,
Arab States,2016,Population covered by at least an LTE/WiMAX mobile network,110.0,,26.5,,,,
Arab States,2017,Population covered by at least an LTE/WiMAX mobile network,210.0,,49.4,,,,
Arab States,2018,Population covered by at least an LTE/WiMAX mobile network,259.0,,59.8,,,,
Arab States,2019,Population covered by at least an LTE/WiMAX mobile network,273.0,,61.8,,,,
Arab States,2020,Population covered by at least an LTE/WiMAX mobile network,329.0,,72.5,,,,
Arab States,2021,Population covered by at least an LTE/WiMAX mobile network,342.0,,74.0,,,,
Arab States,2022,Population covered by at least an LTE/WiMAX mobile network,380.0,,80.6,,,,
Arab States,2023,Population covered by at least an LTE/WiMAX mobile network,413.0,,85.7,,,,
Arab States,2024,Population covered by at least an LTE/WiMAX mobile network,427.0,,86.9,,,,
Asia-Pacific,2005,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Asia-Pacific,2006,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Asia-Pacific,2007,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Asia-Pacific,2008,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Asia-Pacific,2009,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Asia-Pacific,2010,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Asia-Pacific,2011,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Asia-Pacific,2012,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Asia-Pacific,2013,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Asia-Pacific,2014,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Asia-Pacific,2015,Population covered by at least an LTE/WiMAX mobile network,1709.0,,41.3,,,,
Asia-Pacific,2016,Population covered by at least an LTE/WiMAX mobile network,3023.0,,72.3,,,,
Asia-Pacific,2017,Population covered by at least an LTE/WiMAX mobile network,3666.0,,86.9,,,,
Asia-Pacific,2018,Population covered by at least an LTE/WiMAX mobile network,3883.0,,91.2,,,,
Asia-Pacific,2019,Population covered by at least an LTE/WiMAX mobile network,4004.0,,93.3,,,,
Asia-Pacific,2020,Population covered by at least an LTE/WiMAX mobile network,4101.0,,94.4,,,,
Asia-Pacific,2021,Population covered by at least an LTE/WiMAX mobile network,4136.0,,94.7,,,,
Asia-Pacific,2022,Population covered by at least an LTE/WiMAX mobile network,4173.0,,95.0,,,,
Asia-Pacific,2023,Population covered by at least an LTE/WiMAX mobile network,4245.0,,96.2,,,,
Asia-Pacific,2024,Population covered by at least an LTE/WiMAX mobile network,4268.0,,96.2,,,,
CIS,2005,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
CIS,2006,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
CIS,2007,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
CIS,2008,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
CIS,2009,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
CIS,2010,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
CIS,2011,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
CIS,2012,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
CIS,2013,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
CIS,2014,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
CIS,2015,Population covered by at least an LTE/WiMAX mobile network,101.0,,42.8,,,,
CIS,2016,Population covered by at least an LTE/WiMAX mobile network,125.0,,52.4,,,,
CIS,2017,Population covered by at least an LTE/WiMAX mobile network,145.0,,60.5,,,,
CIS,2018,Population covered by at least an LTE/WiMAX mobile network,161.0,,66.9,,,,
CIS,2019,Population covered by at least an LTE/WiMAX mobile network,195.0,,80.3,,,,
CIS,2020,Population covered by at least an LTE/WiMAX mobile network,207.0,,84.2,,,,
CIS,2021,Population covered by at least an LTE/WiMAX mobile network,214.0,,86.9,,,,
CIS,2022,Population covered by at least an LTE/WiMAX mobile network,223.0,,90.3,,,,
CIS,2023,Population covered by at least an LTE/WiMAX mobile network,234.0,,94.0,,,,
CIS,2024,Population covered by at least an LTE/WiMAX mobile network,235.0,,94.3,,,,
Europe,2005,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Europe,2006,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Europe,2007,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Europe,2008,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Europe,2009,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Europe,2010,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Europe,2011,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Europe,2012,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Europe,2013,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Europe,2014,Population covered by at least an LTE/WiMAX mobile network,,,,,,,
Europe,2015,Population covered by at least an LTE/WiMAX mobile network,497.0,,73.6,,,,
Europe,2016,Population covered by at least an LTE/WiMAX mobile network,586.0,,86.5,,,,
Europe,2017,Population covered by at least an LTE/WiMAX mobile network,609.0,,89.6,,,,
Europe,2018,Population covered by at least an LTE/WiMAX mobile network,622.0,,91.4,,,,
Europe,2019,Population covered by at least an LTE/WiMAX mobile network,666.0,,97.5,,,,
Europe,2020,Population covered by at least an LTE/WiMAX mobile network,672.0,,97.7,,,,
Europe,2021,Population covered by at least an LTE/WiMAX mobile network,679.0,,98.6,,,,
Europe,2022,Population covered by at least an LTE/WiMAX mobile network,684.0,,99.0,,,,
Europe,2023,Population covered by at least an LTE/WiMAX mobile network,688.0,,99.3,,,,
Europe,2024,Population covered by at least an LTE/WiMAX mobile network,689.0,,99.3,,,,
Africa,2005,Population covered by at least a 5G mobile network,,,,,,,
Africa,2006,Population covered by at least a 5G mobile network,,,,,,,
Africa,2007,Population covered by at least a 5G mobile network,,,,,,,
Africa,2008,Population covered by at least a 5G mobile network,,,,,,,
Africa,2009,Population covered by at least a 5G mobile network,,,,,,,
Africa,2010,Population covered by at least a 5G mobile network,,,,,,,
Africa,2011,Population covered by at least a 5G mobile network,,,,,,,
Africa,2012,Population covered by at least a 5G mobile network,,,,,,,
Africa,2013,Population covered by at least a 5G mobile network,,,,,,,
Africa,2014,Population covered by at least a 5G mobile network,,,,,,,
Africa,2015,Population covered by at least a 5G mobile network,,,,,,,
Africa,2016,Population covered by at least a 5G mobile network,,,,,,,
Africa,2017,Population covered by at least a 5G mobile network,,,,,,,
Africa,2018,Population covered by at least a 5G mobile network,,,,,,,
Africa,2019,Population covered by at least a 5G mobile network,,,,,,,
Africa,2020,Population covered by at least a 5G mobile network,1.0,,0.1,,,,
Africa,2021,Population covered by at least a 5G mobile network,10.0,,0.9,,,,
Africa,2022,Population covered by at least a 5G mobile network,22.0,,1.9,,,,
Africa,2023,Population covered by at least a 5G mobile network,70.0,,5.9,,,,
Africa,2024,Population covered by at least a 5G mobile network,134.0,,11.0,,,,
Americas,2005,Population covered by at least a 5G mobile network,,,,,,,
Americas,2006,Population covered by at least a 5G mobile network,,,,,,,
Americas,2007,Population covered by at least a 5G mobile network,,,,,,,
Americas,2008,Population covered by at least a 5G mobile network,,,,,,,
Americas,2009,Population covered by at least a 5G mobile network,,,,,,,
Americas,2010,Population covered by at least a 5G mobile network,,,,,,,
Americas,2011,Population covered by at least a 5G mobile network,,,,,,,
Americas,2012,Population covered by at least a 5G mobile network,,,,,,,
Americas,2013,Population covered by at least a 5G mobile network,,,,,,,
Americas,2014,Population covered by at least a 5G mobile network,,,,,,,
Americas,2015,Population covered by at least a 5G mobile network,,,,,,,
Americas,2016,Population covered by at least a 5G mobile network,,,,,,,
Americas,2017,Population covered by at least a 5G mobile network,,,,,,,
Americas,2018,Population covered by at least a 5G mobile network,,,,,,,
Americas,2019,Population covered by at least a 5G mobile network,,,,,,,
Americas,2020,Population covered by at least a 5G mobile network,358.0,,35.1,,,,
Americas,2021,Population covered by at least a 5G mobile network,424.0,,41.4,,,,
Americas,2022,Population covered by at least a 5G mobile network,488.0,,47.3,,,,
Americas,2023,Population covered by at least a 5G mobile network,564.0,,54.4,,,,
Americas,2024,Population covered by at least a 5G mobile network,662.0,,63.4,,,,
Arab States,2005,Population covered by at least a 5G mobile network,,,,,,,
Arab States,2006,Population covered by at least a 5G mobile network,,,,,,,
Arab States,2007,Population covered by at least a 5G mobile network,,,,,,,
Arab States,2008,Population covered by at least a 5G mobile network,,,,,,,
Arab States,2009,Population covered by at least a 5G mobile network,,,,,,,
Arab States,2010,Population covered by at least a 5G mobile network,,,,,,,
Arab States,2011,Population covered by at least a 5G mobile network,,,,,,,
Arab States,2012,Population covered by at least a 5G mobile network,,,,,,,
Arab States,2013,Population covered by at least a 5G mobile network,,,,,,,
Arab States,2014,Population covered by at least a 5G mobile network,,,,,,,
Arab States,2015,Population covered by at least a 5G mobile network,,,,,,,
Arab States,2016,Population covered by at least a 5G mobile network,,,,,,,
Arab States,2017,Population covered by at least a 5G mobile network,,,,,,,
Arab States,2018,Population covered by at least a 5G mobile network,,,,,,,
Arab States,2019,Population covered by at least a 5G mobile network,,,,,,,
Arab States,2020,Population covered by at least a 5G mobile network,35.0,,7.6,,,,
Arab States,2021,Population covered by at least a 5G mobile network,39.0,,8.5,,,,
Arab States,2022,Population covered by at least a 5G mobile network,46.0,,9.7,,,,
Arab States,2023,Population covered by at least a 5G mobile network,52.0,,10.9,,,,
Arab States,2024,Population covered by at least a 5G mobile network,62.0,,12.7,,,,
Asia-Pacific,2005,Population covered by at least a 5G mobile network,,,,,,,
Asia-Pacific,2006,Population covered by at least a 5G mobile network,,,,,,,
Asia-Pacific,2007,Population covered by at least a 5G mobile network,,,,,,,
Asia-Pacific,2008,Population covered by at least a 5G mobile network,,,,,,,
Asia-Pacific,2009,Population covered by at least a 5G mobile network,,,,,,,
Asia-Pacific,2010,Population covered by at least a 5G mobile network,,,,,,,
Asia-Pacific,2011,Population covered by at least a 5G mobile network,,,,,,,
Asia-Pacific,2012,Population covered by at least a 5G mobile network,,,,,,,
Asia-Pacific,2013,Population covered by at least a 5G mobile network,,,,,,,
Asia-Pacific,2014,Population covered by at least a 5G mobile network,,,,,,,
Asia-Pacific,2015,Population covered by at least a 5G mobile network,,,,,,,
Asia-Pacific,2016,Population covered by at least a 5G mobile network,,,,,,,
Asia-Pacific,2017,Population covered by at least a 5G mobile network,,,,,,,
Asia-Pacific,2018,Population covered by at least a 5G mobile network,,,,,,,
Asia-Pacific,2019,Population covered by at least a 5G mobile network,,,,,,,
Asia-Pacific,2020,Population covered by at least a 5G mobile network,127.0,,2.9,,,,
Asia-Pacific,2021,Population covered by at least a 5G mobile network,677.0,,15.5,,,,
Asia-Pacific,2022,Population covered by at least a 5G mobile network,1582.0,,36.0,,,,
Asia-Pacific,2023,Population covered by at least a 5G mobile network,2434.0,,55.1,,,,
Asia-Pacific,2024,Population covered by at least a 5G mobile network,2763.0,,62.3,,,,
CIS,2005,Population covered by at least a 5G mobile network,,,,,,,
CIS,2006,Population covered by at least a 5G mobile network,,,,,,,
CIS,2007,Population covered by at least a 5G mobile network,,,,,,,
CIS,2008,Population covered by at least a 5G mobile network,,,,,,,
CIS,2009,Population covered by at least a 5G mobile network,,,,,,,
CIS,2010,Population covered by at least a 5G mobile network,,,,,,,
CIS,2011,Population covered by at least a 5G mobile network,,,,,,,
CIS,2012,Population covered by at least a 5G mobile network,,,,,,,
CIS,2013,Population covered by at least a 5G mobile network,,,,,,,
CIS,2014,Population covered by at least a 5G mobile network,,,,,,,
CIS,2015,Population covered by at least a 5G mobile network,,,,,,,
CIS,2016,Population covered by at least a 5G mobile network,,,,,,,
CIS,2017,Population covered by at least a 5G mobile network,,,,,,,
CIS,2018,Population covered by at least a 5G mobile network,,,,,,,
CIS,2019,Population covered by at least a 5G mobile network,,,,,,,
CIS,2020,Population covered by at least a 5G mobile network,1.0,,0.4,,,,
CIS,2021,Population covered by at least a 5G mobile network,4.0,,1.6,,,,
CIS,2022,Population covered by at least a 5G mobile network,6.0,,2.5,,,,
CIS,2023,Population covered by at least a 5G mobile network,10.0,,3.8,,,,
CIS,2024,Population covered by at least a 5G mobile network,30.0,,12.0,,,,
Europe,2005,Population covered by at least a 5G mobile network,,,,,,,
Europe,2006,Population covered by at least a 5G mobile network,,,,,,,
Europe,2007,Population covered by at least a 5G mobile network,,,,,,,
Europe,2008,Population covered by at least a 5G mobile network,,,,,,,
Europe,2009,Population covered by at least a 5G mobile network,,,,,,,
Europe,2010,Population covered by at least a 5G mobile network,,,,,,,
Europe,2011,Population covered by at least a 5G mobile network,,,,,,,
Europe,2012,Population covered by at least a 5G mobile network,,,,,,,
Europe,2013,Population covered by at least a 5G mobile network,,,,,,,
Europe,2014,Population covered by at least a 5G mobile network,,,,,,,
Europe,2015,Population covered by at least a 5G mobile network,,,,,,,
Europe,2016,Population covered by at least a 5G mobile network,,,,,,,
Europe,2017,Population covered by at least a 5G mobile network,,,,,,,
Europe,2018,Population covered by at least a 5G mobile network,,,,,,,
Europe,2019,Population covered by at least a 5G mobile network,,,,,,,
Europe,2020,Population covered by at least a 5G mobile network,190.0,,27.6,,,,
Europe,2021,Population covered by at least a 5G mobile network,311.0,,45.1,,,,
Europe,2022,Population covered by at least a 5G mobile network,395.0,,57.1,,,,
Europe,2023,Population covered by at least a 5G mobile network,445.0,,64.2,,,,
Europe,2024,Population covered by at least a 5G mobile network,502.0,,72.3,,,,
Africa,2005,Fixed broadband traffic,,,,,,,
Africa,2006,Fixed broadband traffic,,,,,,,
Africa,2007,Fixed broadband traffic,,,,,,,
Africa,2008,Fixed broadband traffic,,,,,,,
Africa,2009,Fixed broadband traffic,,,,,,,
Africa,2010,Fixed broadband traffic,,,,,,,
Africa,2011,Fixed broadband traffic,,,,,,,
Africa,2012,Fixed broadband traffic,,,,,,,
Africa,2013,Fixed broadband traffic,,,,,,,
Africa,2014,Fixed broadband traffic,,,,,,,
Africa,2015,Fixed broadband traffic,,,,,,,
Africa,2016,Fixed broadband traffic,,,,,,,
Africa,2017,Fixed broadband traffic,,,,,,,
Africa,2018,Fixed broadband traffic,,,,,,,
Africa,2019,Fixed broadband traffic,,,,5.0,925.0,,
Africa,2020,Fixed broadband traffic,,,,7.0,1175.0,,
Africa,2021,Fixed broadband traffic,,,,10.0,1439.0,,
Africa,2022,Fixed broadband traffic,,,,13.0,1567.0,,
Africa,2023,Fixed broadband traffic,,,,17.0,1636.0,,
Africa,2024,Fixed broadband traffic,,,,21.0,1906.0,,
Americas,2005,Fixed broadband traffic,,,,,,,
Americas,2006,Fixed broadband traffic,,,,,,,
Americas,2007,Fixed broadband traffic,,,,,,,
Americas,2008,Fixed broadband traffic,,,,,,,
Americas,2009,Fixed broadband traffic,,,,,,,
Americas,2010,Fixed broadband traffic,,,,,,,
Americas,2011,Fixed broadband traffic,,,,,,,
Americas,2012,Fixed broadband traffic,,,,,,,
Americas,2013,Fixed broadband traffic,,,,,,,
Americas,2014,Fixed broadband traffic,,,,,,,
Americas,2015,Fixed broadband traffic,,,,,,,
Americas,2016,Fixed broadband traffic,,,,,,,
Americas,2017,Fixed broadband traffic,,,,,,,
Americas,2018,Fixed broadband traffic,,,,,,,
Americas,2019,Fixed broadband traffic,,,,487.0,2260.0,,
Americas,2020,Fixed broadband traffic,,,,624.0,2677.0,,
Americas,2021,Fixed broadband traffic,,,,802.0,3222.0,,
Americas,2022,Fixed broadband traffic,,,,1020.0,3935.0,,
Americas,2023,Fixed broadband traffic,,,,1129.0,4209.0,,
Americas,2024,Fixed broadband traffic,,,,1335.0,4820.0,,
Arab States,2005,Fixed broadband traffic,,,,,,,
Arab States,2006,Fixed broadband traffic,,,,,,,
Arab States,2007,Fixed broadband traffic,,,,,,,
Arab States,2008,Fixed broadband traffic,,,,,,,
Arab States,2009,Fixed broadband traffic,,,,,,,
Arab States,2010,Fixed broadband traffic,,,,,,,
Arab States,2011,Fixed broadband traffic,,,,,,,
Arab States,2012,Fixed broadband traffic,,,,,,,
Arab States,2013,Fixed broadband traffic,,,,,,,
Arab States,2014,Fixed broadband traffic,,,,,,,
Arab States,2015,Fixed broadband traffic,,,,,,,
Arab States,2016,Fixed broadband traffic,,,,,,,
Arab States,2017,Fixed broadband traffic,,,,,,,
Arab States,2018,Fixed broadband traffic,,,,,,,
Arab States,2019,Fixed broadband traffic,,,,54.0,1636.0,,
Arab States,2020,Fixed broadband traffic,,,,74.0,1913.0,,
Arab States,2021,Fixed broadband traffic,,,,144.0,3230.0,,
Arab States,2022,Fixed broadband traffic,,,,185.0,3713.0,,
Arab States,2023,Fixed broadband traffic,,,,220.0,3989.0,,
Arab States,2024,Fixed broadband traffic,,,,266.0,4463.0,,
Asia-Pacific,2005,Fixed broadband traffic,,,,,,,
Asia-Pacific,2006,Fixed broadband traffic,,,,,,,
Asia-Pacific,2007,Fixed broadband traffic,,,,,,,
Asia-Pacific,2008,Fixed broadband traffic,,,,,,,
Asia-Pacific,2009,Fixed broadband traffic,,,,,,,
Asia-Pacific,2010,Fixed broadband traffic,,,,,,,
Asia-Pacific,2011,Fixed broadband traffic,,,,,,,
Asia-Pacific,2012,Fixed broadband traffic,,,,,,,
Asia-Pacific,2013,Fixed broadband traffic,,,,,,,
Asia-Pacific,2014,Fixed broadband traffic,,,,,,,
Asia-Pacific,2015,Fixed broadband traffic,,,,,,,
Asia-Pacific,2016,Fixed broadband traffic,,,,,,,
Asia-Pacific,2017,Fixed broadband traffic,,,,,,,
Asia-Pacific,2018,Fixed broadband traffic,,,,,,,
Asia-Pacific,2019,Fixed broadband traffic,,,,867.0,1410.0,,
Asia-Pacific,2020,Fixed broadband traffic,,,,1686.0,2535.0,,
Asia-Pacific,2021,Fixed broadband traffic,,,,2057.0,2797.0,,
Asia-Pacific,2022,Fixed broadband traffic,,,,2159.0,2693.0,,
Asia-Pacific,2023,Fixed broadband traffic,,,,2614.0,3047.0,,
Asia-Pacific,2024,Fixed broadband traffic,,,,2998.0,3251.0,,
CIS,2005,Fixed broadband traffic,,,,,,,
CIS,2006,Fixed broadband traffic,,,,,,,
CIS,2007,Fixed broadband traffic,,,,,,,
CIS,2008,Fixed broadband traffic,,,,,,,
CIS,2009,Fixed broadband traffic,,,,,,,
CIS,2010,Fixed broadband traffic,,,,,,,
CIS,2011,Fixed broadband traffic,,,,,,,
CIS,2012,Fixed broadband traffic,,,,,,,
CIS,2013,Fixed broadband traffic,,,,,,,
CIS,2014,Fixed broadband traffic,,,,,,,
CIS,2015,Fixed broadband traffic,,,,,,,
CIS,2016,Fixed broadband traffic,,,,,,,
CIS,2017,Fixed broadband traffic,,,,,,,
CIS,2018,Fixed broadband traffic,,,,,,,
CIS,2019,Fixed broadband traffic,,,,52.0,1155.0,,
CIS,2020,Fixed broadband traffic,,,,75.0,1559.0,,
CIS,2021,Fixed broadband traffic,,,,94.0,1829.0,,
CIS,2022,Fixed broadband traffic,,,,109.0,2014.0,,
CIS,2023,Fixed broadband traffic,,,,143.0,2437.0,,
CIS,2024,Fixed broadband traffic,,,,173.0,2739.0,,
Europe,2005,Fixed broadband traffic,,,,,,,
Europe,2006,Fixed broadband traffic,,,,,,,
Europe,2007,Fixed broadband traffic,,,,,,,
Europe,2008,Fixed broadband traffic,,,,,,,
Europe,2009,Fixed broadband traffic,,,,,,,
Europe,2010,Fixed broadband traffic,,,,,,,
Europe,2011,Fixed broadband traffic,,,,,,,
Europe,2012,Fixed broadband traffic,,,,,,,
Europe,2013,Fixed broadband traffic,,,,,,,
Europe,2014,Fixed broadband traffic,,,,,,,
Europe,2015,Fixed broadband traffic,,,,,,,
Europe,2016,Fixed broadband traffic,,,,,,,
Europe,2017,Fixed broadband traffic,,,,,,,
Europe,2018,Fixed broadband traffic,,,,,,,
Europe,2019,Fixed broadband traffic,,,,451.0,2045.0,,
Europe,2020,Fixed broadband traffic,,,,611.0,2655.0,,
Europe,2021,Fixed broadband traffic,,,,769.0,3244.0,,
Europe,2022,Fixed broadband traffic,,,,870.0,3602.0,,
Europe,2023,Fixed broadband traffic,,,,966.0,3874.0,,
Europe,2024,Fixed broadband traffic,,,,1138.0,4438.0,,
Africa,2005,Mobile broadband traffic,,,,,,,
Africa,2006,Mobile broadband traffic,,,,,,,
Africa,2007,Mobile broadband traffic,,,,,,,
Africa,2008,Mobile broadband traffic,,,,,,,
Africa,2009,Mobile broadband traffic,,,,,,,
Africa,2010,Mobile broadband traffic,,,,,,,
Africa,2011,Mobile broadband traffic,,,,,,,
Africa,2012,Mobile broadband traffic,,,,,,,
Africa,2013,Mobile broadband traffic,,,,,,,
Africa,2014,Mobile broadband traffic,,,,,,,
Africa,2015,Mobile broadband traffic,,,,,,,
Africa,2016,Mobile broadband traffic,,,,,,,
Africa,2017,Mobile broadband traffic,,,,,,,
Africa,2018,Mobile broadband traffic,,,,,,,
Africa,2019,Mobile broadband traffic,,,,4.0,11.0,,
Africa,2020,Mobile broadband traffic,,,,6.0,15.0,,
Africa,2021,Mobile broadband traffic,,,,9.0,19.0,,
Africa,2022,Mobile broadband traffic,,,,13.0,24.0,,
Africa,2023,Mobile broadband traffic,,,,17.0,29.0,,
Africa,2024,Mobile broadband traffic,,,,23.0,37.0,,
Americas,2005,Mobile broadband traffic,,,,,,,
Americas,2006,Mobile broadband traffic,,,,,,,
Americas,2007,Mobile broadband traffic,,,,,,,
Americas,2008,Mobile broadband traffic,,,,,,,
Americas,2009,Mobile broadband traffic,,,,,,,
Americas,2010,Mobile broadband traffic,,,,,,,
Americas,2011,Mobile broadband traffic,,,,,,,
Americas,2012,Mobile broadband traffic,,,,,,,
Americas,2013,Mobile broadband traffic,,,,,,,
Americas,2014,Mobile broadband traffic,,,,,,,
Americas,2015,Mobile broadband traffic,,,,,,,
Americas,2016,Mobile broadband traffic,,,,,,,
Americas,2017,Mobile broadband traffic,,,,,,,
Americas,2018,Mobile broadband traffic,,,,,,,
Americas,2019,Mobile broadband traffic,,,,57.0,58.0,,
Americas,2020,Mobile broadband traffic,,,,66.0,64.0,,
Americas,2021,Mobile broadband traffic,,,,86.0,78.0,,
Americas,2022,Mobile broadband traffic,,,,114.0,99.0,,
Americas,2023,Mobile broadband traffic,,,,149.0,121.0,,
Americas,2024,Mobile broadband traffic,,,,176.0,135.0,,
Arab States,2005,Mobile broadband traffic,,,,,,,
Arab States,2006,Mobile broadband traffic,,,,,,,
Arab States,2007,Mobile broadband traffic,,,,,,,
Arab States,2008,Mobile broadband traffic,,,,,,,
Arab States,2009,Mobile broadband traffic,,,,,,,
Arab States,2010,Mobile broadband traffic,,,,,,,
Arab States,2011,Mobile broadband traffic,,,,,,,
Arab States,2012,Mobile broadband traffic,,,,,,,
Arab States,2013,Mobile broadband traffic,,,,,,,
Arab States,2014,Mobile broadband traffic,,,,,,,
Arab States,2015,Mobile broadband traffic,,,,,,,
Arab States,2016,Mobile broadband traffic,,,,,,,
Arab States,2017,Mobile broadband traffic,,,,,,,
Arab States,2018,Mobile broadband traffic,,,,,,,
Arab States,2019,Mobile broadband traffic,,,,17.0,64.0,,
Arab States,2020,Mobile broadband traffic,,,,26.0,93.0,,
Arab States,2021,Mobile broadband traffic,,,,32.0,103.0,,
Arab States,2022,Mobile broadband traffic,,,,43.0,128.0,,
Arab States,2023,Mobile broadband traffic,,,,59.0,159.0,,
Arab States,2024,Mobile broadband traffic,,,,79.0,191.0,,
Asia-Pacific,2005,Mobile broadband traffic,,,,,,,
