Key ICT indicators for the ITU/BDT regions (totals and penetration rates);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Millions;;;;;;;;;;;;;;;;;;;;;Per 100 inhabitants ;;;;;;;;;;;;;;;;;;;;;;;
Mobile-cellular telephone subscriptions/Millions;2005 ;2006 ;2007 ;2008 ;2009 ;2010 ;2011 ;2012 ;2013 ;2014 ;2015 ;2016 ;2017 ;2018 ;2019 ;2020 ;2021 ;2022 ;2023 ;2024 ;;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;;;;
 Africa ; 87 ; 129 ; 174 ; 246 ; 299 ; 366 ; 441 ; 510 ; 581 ; 644 ; 714 ; 714 ; 725 ; 780 ; 835 ; 896 ; 944 ; 1 027 ; 1 098 ; 1 185 ;;12,4;17,8;23,5;32,2;38,0;44,3;51,9;58,4;64,7;69,7;75,0;73,0;72,2;75,8;79,0;81,5;83,7;88,8;92,6;97,5;;;;
 Americas ; 459 ; 553 ; 649 ; 741 ; 809 ; 881 ; 952 ; 995 ; 1 043 ; 1 093 ; 1 052 ; 1 056 ; 1 044 ; 1 049 ; 1 048 ; 1 045 ; 1 098 ; 1 123 ; 1 155 ; 1 191 ;;52,1;62,0;72,1;80,8;87,3;94,2;100,8;104,2;108,2;112,3;107,6;107,0;104,7;104,4;103,4;102,5;107,2;109,0;111,4;114,1;;;;
 Arab States ; 84 ; 125 ; 174 ; 213 ; 264 ; 312 ; 352 ; 382 ; 408 ; 415 ; 419 ; 417 ; 417 ; 417 ; 428 ; 433 ; 446 ; 469 ; 489 ; 510 ;;26,8;38,8;52,6;63,2;76,5;87,5;96,4;102,2;106,7;106,3;103,0;100,4;98,2;96,3;96,7;95,4;96,5;99,3;101,2;103,7;;;;
 Asia-Pacific ; 833 ; 1 074 ; 1 398 ; 1 773 ; 2 164 ; 2 625 ; 3 029 ; 3 234 ; 3 463 ; 3 681 ; 3 778 ; 4 094 ; 4 335 ; 4 497 ; 4 705 ; 4 702 ; 4 774 ; 4 815 ; 4 866 ; 4 987 ;;22,6;28,8;37,1;46,6;56,3;67,1;76,7;81,0;85,9;90,4;91,2;97,9;102,7;105,6;109,6;108,3;109,3;109,6;110,2;112,4;;;;
 CIS ; 135 ; 177 ; 209 ; 254 ; 297 ; 318 ; 300 ; 306 ; 319 ; 323 ; 325 ; 329 ; 331 ; 329 ; 351 ; 347 ; 358 ; 361 ; 362 ; 367 ;;59,2;77,4;91,4;110,4;128,7;137,3;128,6;130,3;135,2;136,2;137,4;138,1;138,3;136,5;144,7;141,5;145,3;145,8;145,8;147,1;;;;
 Europe ; 581 ; 661 ; 735 ; 771 ; 771 ; 761 ; 783 ; 800 ; 814 ; 809 ; 809 ; 808 ; 812 ; 809 ; 814 ; 811 ; 827 ; 836 ; 848 ; 868 ;;89,3;101,2;112,1;117,1;116,6;114,7;117,7;120,0;121,7;121,1;119,8;119,3;119,5;118,8;119,2;117,9;120,1;121,0;122,4;125,1;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Active mobile-broadband subscriptions/Millions;2005 ;2006 ;2007 ;2008 ;2009 ;2010 ;2011 ;2012 ;2013 ;2014 ;2015 ;2016 ;2017 ;2018 ;2019 ;2020 ;2021 ;2022 ;2023 ;2024 ;;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;;;;
