Key ICT indicators for the ITU/BDT regions (totals and penetration rates);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Millions;;;;;;;;;;;;;;;;;;;;;Per 100 inhabitants ;;;;;;;;;;;;;;;;;;;;;;;
 Asia-Pacific ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 867 ; 1 686 ; 2 057 ; 2 159 ; 2 614 ; 2 998 ;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;1 410;2 535;2 797;2 693;3 047;3 251;;;;
 CIS ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 52 ; 75 ; 94 ; 109 ; 143 ; 173 ;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;1 155;1 559;1 829;2 014;2 437;2 739;;;;
 Europe ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 451 ; 611 ; 769 ; 870 ; 966 ; 1 138 ;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;2 045;2 655;3 244;3 602;3 874;4 438;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mobile broadband traffic(Exabytes);2005 ;2006 ;2007 ;2008 ;2009 ;2010 ;2011 ;2012 ;2013 ;2014 ;2015 ;2016 ;2017 ;2018 ;2019 ;2020 ;2021 ;2022 ;2023 ;2024 ;;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;;;;
Africa; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 4 ; 6 ; 9 ; 13 ; 17 ; 23 ;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;11;15;19;24;29;37;;;;
Americas; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 57 ; 66 ; 86 ; 114 ; 149 ; 176 ;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;58;64;78;99;121;135;;;;
Arab States; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 17 ; 26 ; 32 ; 43 ; 59 ; 79 ;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;64;93;103;128;159;191;;;;
Asia-Pacific; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 279 ; 367 ; 498 ; 598 ; 660 ; 781 ;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;89;110;140;155;162;183;;;;
CIS; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 18 ; 28 ; 36 ; 45 ; 55 ; 64 ;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;84;124;151;181;204;230;;;;
Europe; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 40 ; 60 ; 77 ; 99 ; 124 ; 144 ;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;60;86;106;135;163;184;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tbit/s**;;;;;;;;;;;;;;;;;;;;;Per Internet user (kbit/s);;;;;;;;;;;;;;;;;;;;;;;
International bandwidth usage(Tbits/s**);2005 ;2006 ;2007 ;2008 ;2009 ;2010 ;2011 ;2012 ;2013 ;2014 ;2015 ;2016 ;2017 ;2018 ;2019 ;2020 ;2021 ;2022 ;2023 ;2024 ;;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;;;;
Africa; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 1,7 ; 2,0 ; 2,6 ; 3,3 ; 4,7 ; 9,8 ; 12,8 ; 17,5 ; 25,6 ; 37 ;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A; 11,1 ; 11,0 ; 12,8 ; 14,3 ; 17,5 ; 31,7 ; 36,9 ; 45,8 ; 61,7 ; 80,1 ;;;;
Americas; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 38,8 ; 46,8 ; 51,8 ; 70,9 ; 101,0 ; 134,9 ; 171,9 ; 221,2 ; 266,5 ; 322 ;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A; 63,7 ; 69,7 ; 72,5 ; 95,2 ; 131,3 ; 165,5 ; 204,9 ; 258,9 ; 303,5 ; 356,6 ;;;;
Arab States; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 5,8 ; 8,1 ; 13,1 ; 18,0 ; 24,1 ; 32,2 ; 41,3 ; 51,5 ; 61,7 ; 80 ;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A; 37,2 ; 47,1 ; 66,7 ; 84,6 ; 100,8 ; 117,6 ; 138,1 ; 161,8 ; 186,6 ; 232,3 ;;;;
Asia-Pacific; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 52,5 ; 79,4 ; 124,3 ; 174,8 ; 247,6 ; 310,8 ; 442,4 ; 545,0 ; 659,4 ; 791 ;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A; 37,3 ; 51,6 ; 75,4 ; 95,9 ; 118,1 ; 127,5 ; 169,7 ; 200,4 ; 234,2 ; 268,4 ;;;;
CIS; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 4,9 ; 8,4 ; 10,5 ; 11,4 ; 12,6 ; 16,6 ; 20,1 ; 23,0 ; 33,0 ; 43 ;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A; 33,5 ; 53,6 ; 64,0 ; 64,0 ; 67,9 ; 85,3 ; 96,8 ; 106,7 ; 148,5 ; 190,2 ;;;;
Europe; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 49,9 ; 57,8 ; 64,1 ; 88,3 ; 122,5 ; 157,1 ; 202,6 ; 248,7 ; 311,9 ; 391 ;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Millions;;;;;;;;;;;;;;;;;;;;;Percentage;;;;;;;;;;;;;;;;;;;;;;;
Individuals using the Internet(Millions);2005 ;2006 ;2007 ;2008 ;2009 ;2010 ;2011 ;2012 ;2013 ;2014 ;2015 ;2016 ;2017 ;2018 ;2019 ;2020 ;2021 ;2022 ;2023 ;2024 ;;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;;;;
Africa; 15 ; 20 ; 25 ; 29 ; 36 ; 52 ; 66 ; 83 ; 104 ; 128 ; 153 ; 177 ; 204 ; 233 ; 270 ; 308 ; 348 ; 381 ; 415 ; 456 ;; 2,0 ; 2,6 ; 3,2 ; 3,7 ; 4,3 ; 6,1 ; 7,6 ; 9,3 ; 11,4 ; 13,6 ; 15,9 ; 17,8 ; 20,0 ; 22,3 ; 25,1 ; 28,0 ; 30,8 ; 32,9 ; 35,0 ; 37,5 ;;;;
Americas; 315 ; 345 ; 384 ; 402 ; 425 ; 453 ; 480 ; 522 ; 537 ; 563 ; 610 ; 672 ; 715 ; 744 ; 769 ; 816 ; 839 ; 854 ; 878 ; 903 ;; 35,9 ; 38,8 ; 42,7 ; 44,2 ; 46,2 ; 48,7 ; 51,1 ; 55,1 ; 56,0 ; 58,2 ; 62,4 ; 68,1 ; 71,8 ; 74,1 ; 76,0 ; 80,1 ; 81,9 ; 82,9 ; 84,7 ; 86,5 ;;;;
Arab States; 28 ; 35 ; 48 ; 60 ; 71 ; 83 ; 94 ; 108 ; 121 ; 138 ; 156 ; 172 ; 197 ; 213 ; 240 ; 274 ; 299 ; 318 ; 331 ; 342 ;; 8,6 ; 10,5 ; 14,1 ; 17,2 ; 19,8 ; 22,7 ; 25,2 ; 28,2 ; 31,0 ; 34,4 ; 37,9 ; 40,9 ; 46,0 ; 48,7 ; 53,8 ; 60,4 ; 64,7 ; 67,4 ; 68,6 ; 69,6 ;;;;
Asia-Pacific; 360 ; 413 ; 523 ; 634 ; 747 ; 894 ; 1 009 ; 1 105 ; 1 207 ; 1 301 ; 1 409 ; 1 540 ; 1 648 ; 1 823 ; 2 096 ; 2 439 ; 2 607 ; 2 720 ; 2 815 ; 2 949 ;; 9,6 ; 10,8 ; 13,6 ; 16,3 ; 19,0 ; 22,5 ; 25,1 ; 27,2 ; 29,4 ; 31,3 ; 33,6 ; 36,4 ; 38,6 ; 42,4 ; 48,3 ; 55,8 ; 59,3 ; 61,6 ; 63,4 ; 66,1 ;;;;
CIS; 25 ; 32 ; 43 ; 56 ; 75 ; 90 ; 109 ; 126 ; 134 ; 143 ; 147 ; 157 ; 164 ; 177 ; 186 ; 195 ; 207 ; 215 ; 222 ; 228 ;; 11,0 ; 14,2 ; 18,9 ; 24,6 ; 32,8 ; 39,3 ; 47,3 ; 54,4 ; 57,3 ; 60,7 ; 62,1 ; 65,5 ; 68,2 ; 73,1 ; 76,2 ; 79,5 ; 84,2 ; 87,0 ; 89,4 ; 91,5 ;;;;
Europe; 281 ; 303 ; 344 ; 374 ; 397 ; 422 ; 434 ; 452 ; 468 ; 485 ; 494 ; 510 ; 527 ; 550 ; 565 ; 587 ; 604 ; 612 ; 621 ; 631 ;; 42,7 ; 46,0 ; 52,1 ; 56,3 ; 59,7 ; 63,2 ; 64,7 ; 67,2 ; 69,4 ; 71,6 ; 72,5 ; 74,7 ; 76,8 ; 79,9 ; 81,8 ; 84,9 ; 87,3 ; 88,6 ; 89,9 ; 91,2 ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Individuals owning a mobile phone***(Millions);2005 ;2006 ;2007 ;2008 ;2009 ;2010 ;2011 ;2012 ;2013 ;2014 ;2015 ;2016 ;2017 ;2018 ;2019 ;2020 ;2021 ;2022 ;2023 ;2024 ;;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;;;;
Africa; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 406 ; 448 ; 486 ; 518 ; 546 ; 577 ;; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 53,9 ; 57,7 ; 60,8 ; 63,0 ; 64,5 ; 66,2 ;;;;
Americas; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 730 ; 752 ; 766 ; 776 ; 790 ; 803 ;; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 84,3 ; 86,1 ; 87,0 ; 87,5 ; 88,2 ; 88,8 ;;;;
Arab States; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 269 ; 281 ; 291 ; 302 ; 310 ; 319 ;; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 79,1 ; 80,8 ; 82,1 ; 82,7 ; 82,8 ; 83,1 ;;;;
Asia-Pacific; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 2 398 ; 2 580 ; 2 716 ; 2 801 ; 2 869 ; 2 944 ;; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 65,8 ; 70,0 ; 73,0 ; 74,6 ; 75,6 ; 76,9 ;;;;
CIS; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 186 ; 189 ; 191 ; 195 ; 198 ; 201 ;; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 90,0 ; 90,9 ; 91,7 ; 93,1 ; 93,6 ; 94,4 ;;;;
Europe; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 566 ; 575 ; 577 ; 582 ; 586 ; 592 ;; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 92,2 ; 93,2 ; 93,4 ; 94,0 ; 94,7 ; 95,3 ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
* 1 Exabyte = 1012 Megabytes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
** 1 terabit = 1’000’000 megabits;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
*** Individuals aged 10 or older;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
All data are ITU estimates;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Values are rounded to 1 decimal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N/A: Not available;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Regions are based on the ITU regions, see: http://www.itu.int/en/ITU-D/Statistics/Pages/definitions/regions.aspx ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Source:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITU World Telecommunication/ICT Indicators database;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Version November 2024, for Facts and Figures 2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
